公園代碼,公園名稱,縣市,鄉鎮市區,建造日期,公園面積(公頃),利用型態,所在里別,座落位置,使用分區,TWD97X,TWD97Y,資料類型
1,嘉義公園,嘉義市,東區,86年7月(整建),23.21,觀光、休憩、運動公園,王田里,原中山公園,公6,195218.03,2597895.21,公園
2,中正公園,嘉義市,西區,77(銅像)78年1月13日啟用,1.33,社區公園,國華里,民權路國華街口,公10,193577.53,2597710.39,公園
3,長榮公園,嘉義市,東區,86年5月3日開工87年6月5日完工,0.7,社區公園,太平里,嘉義監獄西側,公5,194589.33,2598064.02,公園
4,文昌公園,嘉義市,東區,86年1月開工87年7月18日完工,0.44,社區公園,民族里,華南商職西側,公12,194445.82,2597391.45,公園
5,崇文公園,嘉義市,東區,87年8月,0.47,社區公園,豐年里,嘉義商職東側,公21,194015.12,2596525.52,公園
6,宣信公園,嘉義市,東區,81年6月,0.4,社區公園,芳安里,宣信街芳安路口,公23,194840.58,2596287.06,公園
7,228紀念公園,嘉義市,東區,85年2月28日啟用,0.71,紀念公園,東川里,大雅路與啟明路路口處,公17,195060.89,2597149.38,公園
8,興嘉公園,嘉義市,西區,84年4月,1.13,社區公園,車店里,興業路與南京路交叉處,公19,192295,2596245.12,公園
9,南興公園,嘉義市,東區,86年12月,1.08,社區公園,頂寮里、安寮里,兒8東側,公26,194558.62,2596015.69,公園
10,民生公園,嘉義市,西區,85年7月開工87年12月10日完工,2.63,綠地公園,美源里,民生南路與興業路交叉處,公20,193397.01,2596113.59,公園
11,南田公園,嘉義市,東區,85年4月完工,1.27,社區公園,興南里,公22、35,吳鳳南路東側,194431.48,2596462.69,公園
12,東洋公園,嘉義市,東區,92年3月啟用,0.15,社區公園,文雅里,原盧厝公園,公8,197766.43,2597842.18,公園
13,仁愛兒童遊戲場,嘉義市,西區,85年6月開工85年10月完工,0.24,兒童遊戲場,美源里,文小19北側,兒5,193108.94,2596144.93,公園
14,頂庄公園,嘉義市,東區,88年6月開工89年3月完工,0.2,兒童遊戲場,頂庄里,監理所東南側,兒4,194558.18,2599471.7,公園
15,友忠公園,嘉義市,西區,94年2月3日啟用,1.49,社區公園,福全里,北港路南側,公9,192104.28,2597232.16,公園
16,文雅公園,嘉義市,東區,94年3月16日完工94年4月30日啟用,0.17,社區公園,文雅里,文雅街200巷東邊,公7,197347.96,2597821.97,公園
17,後湖公園,嘉義市,東區,94年10月29日啟用,0.39,社區公園,後湖里,後湖工業區東南側,公37,194456.46,2599960.03,公園
18,中庄公園,嘉義市,東區,95年5月7日啟用,0.2,社區公園,中庄里,台一線省道西南側,兒3,193902.14,2599389.03,公園
19,北社尾公園,嘉義市,西區,95年11月完工96年1月1日啟用,0.76,社區公園,北湖里,北園國小南側,公2,191293.15,2599013.62,公園
20,光路公園,嘉義市,西區,95年10月完工96年2月啟用,0.18,社區公園,光路里,中油鐵路/南側,兒12,192959.36,2595326.89,公園
21,番仔溝公園13號公園,嘉義市,西區,97年2月完工5月14日開放,0.8,社區公園,西平里,博愛路北側,公13,192080.9,2597080.2,公園
22,番仔溝公園14號公園,嘉義市,西區,97年2月完工5月14日開放,2.05,社區公園,西平里,博愛路南側,公14,192296.84,2596971.82,公園
23,文化公園,嘉義市,東區,97年10月27日完工98年1月24日啟用,3.08,社區公園,過溝里,嘉義女中北側,公16,193916.99,2596964.33,公園
24,劉厝公園,嘉義市,西區,96年7月23完工97年2月5日啟用,2.15,社區公園,劉厝里,大富路大和街口,公31,190383.06,2596166.81,公園
25,劉厝2號公園,嘉義市,西區,97年4月完工98年2月14日開放,1.1,社區公園,劉厝里,劉厝路大忠街口,公32,190574.91,2595785.18,公園
26,劉厝3號公園,嘉義市,西區,97年11月14日完工98年6月9日啟用,1.23,社區公園,劉厝里,大富路底東側,公33,190299.64,2595423.27,公園
27,湖內兒童公園,嘉義市,西區,97年8月24日完工98年1月23日啟用,0.18,社區公園,湖內里,南京路南側,兒13,192942.52,2594802.8,公園
28,短竹公園,嘉義市,東區,97年10月13日完工98年4月1日開放,0.21,社區公園,短竹里,光仁街南側,公24,195690.28,2596379.47,公園
29,義昌公園,嘉義市,西區,99年8月27日開放,0.66,社區公園,西榮里,民生北路以西,公11,193422.07,2597182.84,公園
30,芳草公園,嘉義市,東區,99年3月28日開工99年9月24日竣工,0.21,社區公園,芳草里,彌陀路西側,兒6,195335.03,2596039.81,公園
31,北香湖公園,嘉義市,西區,100年09月26日開工104年9月底開放,25.26,市鎮公園,香湖里,博愛陸橋旁、文化路底,公3,193355.03,2598922.24,公園
